0:0:0:0:0:0:0:1 - - [02/Jul/2016:16:54:10 +0300] "GET /IntelligentInventory/resources/jQuery/jQuery-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:16:54:10 +0300] "GET /IntelligentInventory/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:16:54:10 +0300] "GET /IntelligentInventory/resources/js/icheck.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:16:54:10 +0300] "GET /IntelligentInventory/resources/images/Logo4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:16:54:21 +0300] "GET /IntelligentInventory/ HTTP/1.1" 200 1748
0:0:0:0:0:0:0:1 - - [02/Jul/2016:16:54:21 +0300] "GET /IntelligentInventory/resources/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:16:54:21 +0300] "GET /IntelligentInventory/resources/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:16:54:21 +0300] "GET /IntelligentInventory/resources/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:16:54:21 +0300] "GET /IntelligentInventory/resources/jQuery/jQuery-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:16:54:21 +0300] "GET /IntelligentInventory/resources/js/icheck.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:16:54:21 +0300] "GET /IntelligentInventory/resources/js/bootstrap.min.js HTTP/1.1" 304 -
