0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:34:13 +0300] "GET /IntelligentInventory/resources/js/icheck.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:34:13 +0300] "GET /IntelligentInventory/resources/js/jquery.sparkline.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:34:13 +0300] "GET /IntelligentInventory/resources/js/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:34:13 +0300] "GET /IntelligentInventory/resources/js/jquery.knob.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:34:13 +0300] "GET /IntelligentInventory/resources/js/jquery-jvectormap-world-mill-en.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:34:13 +0300] "GET /IntelligentInventory/resources/js/dashboard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:34:13 +0300] "GET /IntelligentInventory/resources/js/jquery.slimscroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:34:13 +0300] "GET /IntelligentInventory/resources/js/demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:34:13 +0300] "GET /IntelligentInventory/resources/js/app.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:34:13 +0300] "GET /IntelligentInventory/resources/js/fastclick.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:34:19 +0300] "GET /IntelligentInventory/welcome HTTP/1.1" 200 10513
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:34:26 +0300] "GET /IntelligentInventory/welcome HTTP/1.1" 200 10513
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:34:26 +0300] "GET /IntelligentInventory/resources/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:34:26 +0300] "GET /IntelligentInventory/resources/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:34:26 +0300] "GET /IntelligentInventory/resources/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:34:26 +0300] "GET /IntelligentInventory/resources/_all-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:34:26 +0300] "GET /IntelligentInventory/resources/jquery-jvectormap-1.2.2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:34:26 +0300] "GET /IntelligentInventory/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:34:26 +0300] "GET /IntelligentInventory/resources/js/icheck.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2016:09:34:26 +0300] "GET /IntelligentInventory/resources/jQuery/jQuery-2.2.0.min.js HTTP/1.1" 304 -
